NPA,employment_2023,grad_2023,home_price_2023,home_price_2021,job_density_2022,homicide_count
449,89.7,100.0,1418063.0,1027839.0,1,0.0
450,94.1,96.7,593103.0,399889.0,0,0.0
451,96.7,97.1,692947.0,473401.0,0,0.0
452,98.6,88.9,396469.0,331264.0,2,0.0
453,100.0,78.6,322067.0,232155.0,1,0.0
454,98.4,100.0,476431.0,393027.0,0,1.0
455,96.8,100.0,500778.0,358965.0,0,0.0
457,96.4,100.0,555526.0,363316.0,0,0.0
458,94.4,93.8,482317.0,343294.0,0,0.0
459,99.7,93.8,446321.0,352870.0,0,0.0
460,94.4,90.9,382462.0,296322.0,2,0.0
462,88.0,80.0,601965.0,442964.0,0,0.0
463,98.0,92.0,373971.0,267843.0,1,0.0
464,95.4,97.8,528309.0,365018.0,1,0.0
465,97.2,92.3,461857.0,319758.0,1,0.0
466,95.4,96.7,494380.0,296757.0,0,0.0
467,97.5,100.0,451210.0,328083.0,6,0.0
469,95.7,100.0,770712.0,551965.0,0,0.0
470,100.0,100.0,670302.0,461163.0,1,0.0
471,99.1,95.7,415297.0,295417.0,2,0.0
472,100.0,100.0,1100345.0,663067.0,0,0.0
473,99.8,80.0,485542.0,348305.0,8,0.0
474,100.0,100.0,798000.0,436917.0,2,0.0
475,94.0,100.0,866494.0,510148.0,1,0.0
476,96.9,90.9,421799.0,343830.0,84,37.0
